,moc_id,state_district,chamber,name,party,twitter_handle
57,58,California 26th District,U.S. Representative,"Brownley, Julia",D,@RepBrownley
59,60,California 28th District,U.S. Representative,"Schiff, Adam",D,@RepAdamSchiff
61,62,California 30th District,U.S. Representative,"Sherman, Brad",D,@BradSherman
62,63,California 31st District,U.S. Representative,"Aguilar, Pete",D,@RepPeteAguilar
63,64,California 32nd District,U.S. Representative,"Napolitano, Grace",D,@gracenapolitano
64,65,California 33rd District,U.S. Representative,"Lieu, Ted",D,@RepTedLieu
67,68,California 36th District,U.S. Representative,"Ruiz, Raul",D,@RepRaulRuizMD
68,69,California 37th District,U.S. Representative,"Bass, Karen",D,@RepKarenBass
70,71,California 39th District,U.S. Representative,"Kim, Young",R,@YoungKimCA
71,72,California 40th District,U.S. Representative,"Roybal-Allard, Lucille",D,@RepRoybalAllard
72,73,California 41st District,U.S. Representative,"Takano, Mark",D,@RepMarkTakano
73,74,California 42nd District,U.S. Representative,"Calvert, Ken",R,@KenCalvert
74,75,California 43rd District,U.S. Representative,"Waters, Maxine",D,@MaxineWaters
75,76,California 44th District,U.S. Representative,"Barragan, Nanette",D,@Nanette4CA
77,78,California 46th Division,U.S. Representative,"Correa, Lou",D,@RepLouCorrea
78,79,California 47th District,U.S. Representative,"Lowenthal, Alan",D,@RepLowenthal
80,81,California 49th District,U.S. Representative,"Levin, Mike",D,@RepMikeLevin
81,82,California 50th District,U.S. Representative,"Issa, Darrell",R,@DarrellIssa
84,85,California 53rd District,U.S. Representative,"Jacobs, Sara",D,@SaraJacobsCA
85,86,Colorado,U.S. Senator,"Bennet, Michael",D,@MichaelBennet
87,88,Colorado 1st District,U.S. Representative,"DeGette, Diana",D,@RepDianaDeGette
88,89,Colorado 2nd District,U.S. Representative,"Neguse, Joe",R,@RepJoeNeguse
90,91,Colorado 4th District,U.S. Representative,"Buck, Ken",R,@RepKenBuck
93,94,Colorado 7th District,U.S. Representative,"Perlmutter, Ed",D,@RepPerlmutter
94,95,Connecticut,U.S. Senator,"Murphy, Chris",D,@ChrisMurphyCT
96,97,Connecticut 1st District,U.S. Representative,"Larson, John B.",D,@RepJohnLarson
97,98,Connecticut 2nd District,U.S. Representative,"Courtney, Joe",D,@RepJoeCourtney
98,99,Connecticut 3rd District,U.S. Representative,"DeLauro, Rosa L.",D,@rosadelauro
99,100,Connecticut 4th District,U.S. Representative,"Himes, Jim",D,@jahimes
100,101,Connecticut 5th District,U.S. Representative,"Hayes, Jahana",D,@RepJahanaHayes
102,103,Delaware,U.S. Senator,"Carper, Tom",D,@SenatorCarper
106,107,Florida,U.S. Senator,"Scott, Rick",R,@ScottforFlorida
107,108,Florida 1st District,U.S. Representative,"Gaetz, Matt",R,@MattGaetz
108,109,Florida 2nd District,U.S. Representative,"Dunn, Neal",R,@DrNealDunnFL2
109,110,Florida 3rd District,U.S. Representative,"Cammack, Kat",R,@Kat_Cammack
112,113,Florida 6th District,U.S. Representative,"Waltz, Michael",R,@RepMichaelWaltz
113,114,Florida 7th District,U.S. Representative,"Murphy, Stephanie",D,@SMurphyCongress
114,115,Florida 8th District,U.S. Representative,"Posey, Bill",R,@congbillposey
115,116,Florida 9th District,U.S. Representative,"Soto, Darren",D,@RepDarrenSoto
116,117,Florida 10th District,U.S. Representative,"Demings, Val",D,@Val_Demings
117,118,Florida 11th District,U.S. Representative,"Webster, Daniel",R,@RepWebster
120,121,Florida 14th District,U.S. Representative,"Castor, Kathy",D,@USRepKCastor
123,124,Florida 17th District,U.S. Representative,"Steube, W. Gregory",R,@RepGregSteube
124,125,Florida 18th District,U.S. Representative,"Mast, Brian",R,@BrianMastFL
125,126,Florida 19th District,U.S. Representative,"Donalds, Bryron",R,@ByronDonalds
126,127,Florida 20th District,U.S. Representative,"Cherfilus-McCormick, Sheila",D,@CongresswomanSC
128,129,Florida 22nd District,U.S. Representative,"Deutch, Ted",D,@RepTedDeutch
130,131,Florida 24th District,U.S. Representative,"Wilson, Frederica",D,@RepWilson
133,134,Florida 27th District,U.S. Representative,"Salazar, Maria Elvira",R,@MaElviraSalazar
134,135,Georgia,U.S. Senator,"Ossoff, Jon",D,@ossoff
135,136,Georgia,U.S. Senator,"Warnock, Raphael",D,@ReverendWarnock
137,138,Georgia 2nd District,U.S. Representative,"Bishop Jr., Sanford D.",D,@SanfordBishop
138,139,Georgia 3rd District,U.S. Representative,"Ferguson, Drew",R,@DrewFergusonGA
139,140,Georgia 4th District,U.S. Representative,"Johnson, Henry C. “Hank” Jr.",D,@RepHankJohnson
140,141,Georgia 5th District,U.S. Representative,"Williams, Nikema",D,@NikemaWilliams
142,143,Georgia 7th District,U.S. Representative,"Bourdeaux, Carolyn",D,@RepBourdeaux
143,144,Georgia 8th District,U.S. Representative,"Scott, Austin",R,@AustinScottGA08
145,146,Georgia 10th District,U.S. Representative,"Hice, Jody",R,@CongressmanHice
147,148,Georgia 12th District,U.S. Representative,"Allen, Rick",R,@RepRickAllen
148,149,Georgia 13th District,U.S. Representative,"Scott, David",D,@repdavidscott
149,150,Georgia 14th District,U.S. Representative,"Greene, Marjorie Taylor",R,@mtgreenee
150,151,Guam At-Large,U.S. Representative,"San Nicolas, Michael F.Q.",D,@GuamCongressman
151,152,Hawaii,U.S. Senator,"Schatz, Brian",D,@SenBrianSchatz
152,153,Hawaii,U.S. Senator,"Hirono, Mazie",D,@maziehirono
153,154,Hawaii 1st District,U.S. Representative,"Case, Ed",D,@RepEdCase
154,155,Hawaii 2nd District,U.S. Representative,"Kahele, Kai",D,@kaikahele
155,156,Idaho,U.S. Senator,"Risch, Jim",R,@SenatorRisch
157,158,Idaho 1st District,U.S. Representative,"Fulcher, Russ",R,@RepRussFulcher
159,160,Illinois,U.S. Senator,Tammy Duckwort,D,@SenDuckworth
160,161,Illinois,U.S. Senator,"Durbin, Richard",D,@SenatorDurbin
161,162,Illinois 1st District,U.S. Representative,"Rush, Bobby L.",D,@RepBobbyRush
162,163,Illinois 2nd District,U.S. Representative,"Kelly, Robin",D,@RepRobinKelly
164,165,Illinois 4th District,U.S. Representative,"Garcia, Jesus “Chuy”",D,@RepChuyGarcia
166,167,Illinois 6th District,U.S. Representative,"Casten, Sean",D,@RepCasten
167,168,Illinois 7th District,U.S. Representative,"Davis, Danny K.",D,@RepDannyDavis
168,169,Illinois 8th District,U.S. Representative,"Krishnamoorthi, Raja",D,@RajaForCongress
172,173,Illinois 12th District,U.S. Representative,"Bost, Mike",R,@RepBost
174,175,Illinois 14th District,U.S. Representative,"Underwood, Lauren",D,@RepUnderwood
175,176,Illinois 15th District,U.S. Representative,"Miller, Mary",R,@RepMaryMiller
176,177,Illinois 16th District,U.S. Representative,"Kinzinger, Adam",R,@RepKinzinger
177,178,Illinois 17th District,U.S. Representative,"Bustos, Cheri",D,@RepCheri
178,179,Illinois 18th District,U.S. Representative,"LaHood,Darin",R,@ElectLaHood
179,180,Indiana,U.S. Senator,"Braun, Mike",R,@Braun4Indiana
180,181,Indiana,U.S. Senator,"Young, Todd",R,@SenToddYoung
182,183,Indiana 2nd District,U.S. Representative,"Walorski, Jackie",R,@RepWalorski
183,184,Indiana 3rd District,U.S. Representative,"Banks, Jim",R,@Jim_Banks
185,186,Indiana 5th District,U.S. Representative,"Spartz, Victoria",R,@Victoria_Spartz
186,187,Indiana 6th District,U.S. Representative,"Pence, Greg",R,@RepGregPence
188,189,Indiana 8th District,U.S. Representative,"Bucshon, Larry",R,@RepLarryBucshon
189,190,Indiana 9th District,U.S. Representative,"Hollingsworth, Trey",R,@VoteForTrey
190,191,Iowa,U.S. Senator,"Grassley, Chuck",R,@ChuckGrassley
191,192,Iowa,U.S. Senator,Joni Ernst,R,@SenJoniErnst
192,193,Iowa 1st District,U.S. Representative,"Hinson, Ashley",R,@RepAshleyHinson
194,195,Iowa 3rd District,U.S. Representative,"Axne, Cynthia",D,@RepCindyAxne
195,196,Iowa 4th District,U.S. Representative,"Feenstra, Randy",R,@RandyFeenstra
196,197,Kansas,U.S. Senator,"Marshall, Roger",R,@RogerMarshallMD
198,199,Kansas 1st District,U.S. Representative,"Mann, Tracey",R,@TraceyMannKS
199,200,Kansas 2nd District,U.S. Representative,"LaTurner, Jake",R,@JakeLaTurner
200,201,Kansas 3rd District,U.S. Representative,"Davids, Sharice",D,@sharicedavids
201,202,Kansas 4th District,U.S. Representative,"Estes, Ron",R,@RepRonEstes
202,203,Kentucky,U.S. Senator,"Paul, Rand",R,@RandPaul
203,204,Kentucky,U.S. Senator,"McConnell, Mitch",R,@McConnellPress
205,206,Kentucky 2nd District,U.S. Representative,"Guthrie, S. Brett",R,@RepGuthrie
206,207,Kentucky 3rd District,U.S. Representative,"Yarmuth, John A.",D,@RepJohnYarmuth
207,208,Kentucky 4th District,U.S. Representative,"Massie, Thomas",R,@RepThomasMassie
208,209,Kentucky 5th District,U.S. Representative,"Rogers, Harold",R,@RepHalRogers
210,211,Louisiana,U.S. Senator,"Kennedy, John",R,@JohnKennedyLA
211,212,Louisiana,U.S. Senator,"Cassidy, Bill",R,@BillCassidy
213,214,Louisiana 2nd District,U.S. Representative,"Richmond, Cedric",D,@RepRichmond
214,215,Louisiana 3rd District,U.S. Representative,"Higgins, Clay",R,@CaptClayHIggins
215,216,Louisiana 4th District,U.S. Representative,"Johnson, Mike",R,@RepMikeJohnson
216,217,Louisiana 5th District,U.S. Representative,"Letlow, Julia",R,@jbletlow
217,218,Louisiana 6th District,U.S. Representative,"Graves, Garret",R,@RepGarretGraves
218,219,Maine,U.S. Senator,"Collins, Susan",R,@SenatorCollins
219,220,Maine 1st District,U.S. Representative,"Pingree, Chellie",D,@chelliepingree
220,221,Maine 2nd District,U.S. Representative,"Golden, Jared",D,@RepGolden
221,222,Maryland,U.S. Senator,"Van Hollen, Chris",D,@ChrisVanHollen
222,223,Maryland,U.S. Senator,"Cardin, Benjamin",D,@SenatorCardin
223,224,Maryland 1st District,U.S. Representative,"Harris, Andy",R,@RepAndyHarrisMD
225,226,Maryland 3rd District,U.S. Representative,"Sarbanes, John P.",D,@RepSarbanes
229,230,Maryland 7th District,U.S. Representative,"Mfume, Kweisi",D,@Mfume4Congress
232,233,Massachusetts,U.S. Senator,"Markey, Edward",D,@SenMarkey
233,234,Massachusetts 1st District,U.S. Representative,"Neal, Richard E.",D,@RepRichardNeal
236,237,Massachusetts 4th District,U.S. Representative,"Auchincloss, Jake",D,@JakeAuch
240,241,Massachusetts 8th District,U.S. Representative,"Lynch, Stephen F.",D,@RepStephenLynch
241,242,Massachusetts 9th District,U.S. Representative,"Keating, William",D,@USRepKeating
242,243,Michigan,U.S. Senator,"Stabenow, Debbie",D,@SenStabenow
247,248,Michigan 4th District,U.S. Representative,"Moolenaar, John",R,@RepMoolenaar
249,250,Michigan 6th District,U.S. Representative,"Upton, Fred",R,@RepFredUpton
250,251,Michigan 7th District,U.S. Representative,"Walberg, Tim",R,@RepWalberg
252,253,Michigan 9th District,U.S. Representative,"Levin, Andy",D,@RepAndyLevin
254,255,Michigan 11th District,U.S. Representative,"Stevens, Haley",D,@RepHaleyStevens
256,257,Michigan 13th District,U.S. Representative,"Tlaib, Rashida",D,@RepRashida
257,258,Michigan 14th District,U.S. Representative,"Lawrence, Brenda",D,@RepLawrence
258,259,Minnesota,U.S. Senator,"Klobuchar, Amy",D,@amyklobuchar
260,261,Minnesota 1st District,U.S. Representative,"Hagedorn, Jim",R,@RepHagedorn
261,262,Minnesota 2nd District,U.S. Representative,"Craig, Angie",D,@RepAngieCraig
262,263,Minnesota 3rd District,U.S. Representative,"Phillips, Dean",D,@RepDeanPhillips
263,264,Minnesota 4th District,U.S. Representative,"McCollum, Betty",D,@BettyMcCollum04
264,265,Minnesota 5th District,U.S. Representative,"Omar, Ilhan",D,@IlhanMN
265,266,Minnesota 6th District,U.S. Representative,"Emmer, Tom",R,@RepTomEmmer
266,267,Minnesota 7th District,U.S. Representative,"Fischbach, Michelle",R,@FischbachMN7
267,268,Minnesota 8th District,U.S. Representative,"Stauber, Pete",R,@RepPeteStauber
268,269,Mississippi,U.S. Senator,"Wicker, Roger",R,@SenatorWicker
270,271,Mississippi 1st District,U.S. Representative,"Kelly, Trent",R,@RepTrentKelly
271,272,Mississippi 2nd District,U.S. Representative,"Thompson, Bennie G.",D,@BennieGThompson
272,273,Mississippi 3rd District,U.S. Representative,"Guest, Michael",R,@RepMichaelGuest
273,274,Mississippi 4th District,U.S. Representative,"Palazzo, Steven",R,@CongPalazzo
274,275,Missouri,U.S. Senator,"Hawley, Josh",R,@HawleyMO
275,276,Missouri,U.S. Senator,"Blunt, Roy",R,@RoyBlunt
276,277,Missouri 1st District,U.S. Representative,"Bush, Cori",D,@CoriBush
277,278,Missouri 2nd District,U.S. Representative,"Wagner, Ann",R,@RepAnnWagner
280,281,Missouri 5th District,U.S. Representative,"Cleaver, Emanuel",D,@repcleaver
281,282,Missouri 6th District,U.S. Representative,"Graves, Sam",R,@RepSamGraves
282,283,Missouri 7th District,U.S. Representative,"Long, Billy",R,@USRepLong
283,284,Missouri 8th District,U.S. Representative,"Smith, Jason",R,@RepJasonSmith
284,285,Montana,U.S. Senator,"Tester, Jon",D,@SenatorTester
285,286,Montana,U.S. Senator,"Daines, Steve",R,@SteveDaines
288,289,Nebraska,U.S. Senator,"Fischer, Deb",R,@SenatorFischer
289,290,Nebraska 1st District,U.S. Representative,"Fortenberry, Jeff",R,@JeffFortenberry
290,291,Nebraska 2nd District,U.S. Representative,"Bacon, Don",R,@RepDonBacon
293,294,Nevada,U.S. Senator,"Cortez Mastro, Catherine",D,@CatherineForNV
294,295,Nevada 1st District,U.S. Representative,"Titus, Dina",D,@repdinatitus
295,296,Nevada 2nd District,U.S. Representative,"Amodei, Mark",R,@MarkAmodeiNV2
297,298,Nevada 4th District,U.S. Representative,"Horsford, Steven",D,@RepHorsford
299,300,New Hampshire,U.S. Senator,"Hassan, Maggie",D,@Maggie_Hassan
301,302,New Hampshire 2nd District,U.S. Representative,"Kuster, Ann",D,@RepAnnieKuster
302,303,New Jersey,U.S. Senator,"Menendez, Robert",D,@SenatorMenendez
304,305,New Jersey 1st District,U.S. Representative,"Norcross, Donald",D,@DonNorcross4NJ
305,306,New Jersey 2nd District,U.S. Representative,"Van Drew, Jefferson",D,@JeffVanDrew
306,307,New Jersey 3rd District,U.S. Representative,"Kim, Andy",D,@RepAndyKimNJ
307,308,New Jersey 4th District,U.S. Representative,"Smith, Chris",R,@RepChrisSmith
308,309,New Jersey 5th District,U.S. Representative,"Gottheimer, Josh",D,@JoshGottheimer
311,312,New Jersey 8th District,U.S. Representative,"Sires, Albio",D,@RepSires
312,313,New Jersey 9th District,U.S. Representative,"Pascrell Jr., Bill",D,@BillPascrell
313,314,New Jersey 10th District,U.S. Representative,"Payne Jr., Donald",D,@RepDonaldPayne
315,316,New Jersey 12th District,U.S. Representative,"Watson Coleman, Bonnie",D,@RepBonnie
316,317,New Mexico,U.S. Senator,"Luján, Ben Ray",D,@SenatorLujan
317,318,New Mexico,U.S. Senator,"Heinrich, Martin",D,@MartinHeinrich
318,319,New Mexico 1st District,U.S. Representative,"Stansbury, Melanie",D,@Rep_Stansbury
319,320,New Mexico 2nd District,U.S. Representative,"Herrell, Yvette",R,@Yvette4congress
320,321,New Mexico 3rd District,U.S. Representative,"Fernandez, Teresa Leger",D,@TeresaForNM
321,322,New York,U.S. Senator,"Schumer, Chuck",D,@SenSchumer
323,324,New York 1st District,U.S. Representative,"Zeldin, Lee",R,@RepLeeZeldin
324,325,New York 2nd District,U.S. Representative,"Garbarino, Andrew",R,
325,326,New York 3rd District,U.S. Representative,"Suozzi, Tom",D,@Tom_Suozzi
326,327,New York 4th District,U.S. Representative,"Rice, Kathleen",D,@RepKathleenRice
327,328,New York 5th District,U.S. Representative,"Meeks, Gregory W.",D,@RepGregoryMeeks
328,329,New York 6th District,U.S. Representative,"Meng, Grace",D,@RepGraceMeng
329,330,New York 7th District,U.S. Representative,"Velázquez, Nydia M.",D,@NydiaVelazquez
330,331,New York 8th District,U.S. Representative,"Jeffries, Hakeem",D,@RepJeffries
331,332,New York 9th District,U.S. Representative,"Clarke, Yvette D.",D,@RepYvetteClarke
332,333,New York 10th District,U.S. Representative,"Nadler, Jerrold",D,@RepJerryNadler
336,337,New York 14th District,U.S. Representative,"Ocasio-Cortez, Alexandria",D,@RepAOC
338,339,New York 16th District,U.S. Representative,"Bowman, Jamaal",D,@JamaalBowmanNY
339,340,New York 17th District,U.S. Representative,"Jones, Mondaire",D,@MondaireJones
341,342,New York 19th District,U.S. Representative,"Delgado, Antonio",D,@RepDelgado
343,344,New York 21st District,U.S. Representative,"Stefanik, Elise",R,@RepStefanik
345,346,New York 23rd District,U.S. Representative,"Reed, Tom",R,@RepTomReed
347,348,New York 25th District,U.S. Representative,"Morelle, Joseph",D,@RepJoeMorelle
351,352,North Carolina,U.S. Senator,"Burr, Richard",R,@SenatorBurr
352,353,North Carolina 1st District,U.S. Representative,"Butterfield, G.K.",D,@GKButterfield
354,355,North Carolina 3rd District,U.S. Representative,"Murphy, Greg",R,@RepGregMurphy
355,356,North Carolina 4th District,U.S. Representative,"Price, David",D,@RepDavidEPrice
357,358,North Carolina 6th District,U.S. Representative,"Manning, Kathy",D,@KathyManningNC
359,360,North Carolina 8th District,U.S. Representative,"Hudson, Richard",R,@RepRichHudson
360,361,North Carolina 9th District,U.S. Representative,"Bishop, Dan",R,@jdanbishop
361,362,North Carolina 10th District,U.S. Representative,"McHenry, Patrick T.",R,@PatrickMcHenry
362,363,North Carolina 11th District,U.S. Representative,"Cawthorn, Madison",R,@CawthornforNC
363,364,North Carolina 12th District,U.S. Representative,"Adams, Alma",D,@RepAdams
364,365,North Carolina 13th District,U.S. Representative,"Budd, Ted",R,@BuddforCongress
366,367,North Dakota,U.S. Senator,"Cramer, Kevin",R,@SenKevinCramer
367,368,North Dakota At-Large,U.S. Representative,"Armstrong, Kelly",R,@RepArmstrongND
368,369,Northern Mariana Islands At-Large,U.S. Representative,"Sablan, Gregorio",D,@Kilili_Sablan
369,370,Ohio,U.S. Senator,"Portman, Rob",R,@senrobportman
372,373,Ohio 2nd District,U.S. Representative,"Wenstrup, Brad",R,@RepBradWenstrup
373,374,Ohio 3rd District,U.S. Representative,"Beatty, Joyce",D,@RepBeatty
376,377,Ohio 6th District,U.S. Representative,"Johnson, Bill",R,@RepBillJohnson
378,379,Ohio 8th District,U.S. Representative,"Davidson, Warren",R,@WarrenDavidson
379,380,Ohio 9th District,U.S. Representative,"Kaptur, Marcy",D,@RepMarcyKaptur
380,381,Ohio 10th District,U.S. Representative,"Turner, Michael",R,@RepMikeTurner
381,382,Ohio 11th District,U.S. Representative,"Brown, Shontel",D,@ShontelMBrown
382,383,Ohio 12th District,U.S. Representative,"Balderson, Troy",R,@RepBalderson
383,384,Ohio 13th District,U.S. Representative,"Ryan, Tim",D,@RepTimRyan
384,385,Ohio 14th District,U.S. Representative,"Joyce, David",R,@RepDaveJoyce
385,386,Ohio 15th District,U.S. Representative,"Carey, Mike",R,@MikeCareyOH15
387,388,Oklahoma,U.S. Senator,"Lankford, James",R,@SenatorLankford
388,389,Oklahoma,U.S. Senator,"Inhofe, Jim",R,@InhofePress
389,390,Oklahoma 1st District,U.S. Representative,"Hern, Kevin",R,@RepKevinHern
390,391,Oklahoma 2nd District,U.S. Representative,"Mullin, Markwayne",R,@RepMullin
391,392,Oklahoma 3rd District,U.S. Representative,"Lucas, Frank",R,@RepFrankLucas
392,393,Oklahoma 4th District,U.S. Representative,"Cole, Tom",R,@TomColeOK04
393,394,Oklahoma 5th District,U.S. Representative,"Bice, Stephanie",R,@stephaniebice
396,397,Oregon 1st District,U.S. Representative,"Bonamici, Suzanne",D,@RepBonamici
398,399,Oregon 3rd District,U.S. Representative,"Blumenauer, Earl",D,@repblumenauer
399,400,Oregon 4th District,U.S. Representative,"DeFazio, Peter",D,@RepPeterDeFazio
400,401,Oregon 5th District,U.S. Representative,"Schrader, Kurt",D,@RepSchrader
401,402,Puerto Rico At-Large,U.S. Representative,"Gonzalez-Colon, Jenniffer",R,@Jenniffer2012
403,404,Pennsylvania,U.S. Senator,"Casey, Bob Jr.",D,@SenBobCasey
404,405,Pennsylvania 1st District,U.S. Representative,"Fitzpatrick, Brady",R,@RepBrianFitz
405,406,Pennsylvania 2nd District,U.S. Representative,"Boyle, Brendan",D,@CongBoyle
406,407,Pennsylvania 3rd District,U.S. Representative,"Evans, Dwight",D,@RepDwightEvans
407,408,Pennsylvania 4th District,U.S. Representative,"Dean, Madeleine",D,@RepDean
408,409,Pennsylvania 5th District,U.S. Representative,"Scanlon, Mary-Gay",D,@RepMGS
409,410,Pennsylvania 6th District,U.S. Representative,"Houlahan, Chrissy",D,@RepHoulahan
411,412,Pennsylvania 8th District,U.S. Representative,"Cartwright, Matt",D,@RepCartwright
412,413,Pennsylvania 9th District,U.S. Representative,"Meuser, Daniel",R,@RepMeuser
413,414,Pennsylvania 10th District,U.S. Representative,"Perry, Scott",R,@RepScottPerry
414,415,Pennsylvania 11th District,U.S. Representative,"Smucker, Lloyd",R,@RepLloyd
416,417,Pennsylvania 13th District,U.S. Representative,"Joyce, John",R,@RepJohnJoyce
417,418,Pennsylvania 14th District,U.S. Representative,"Reschenthaler, Guy",R,@GReschenthaler
419,420,Pennsylvania 16th District,U.S. Representative,"Kelly, Mike",R,@MikeKellyforPA
420,421,Pennsylvania 17th District,U.S. Representative,"Lamb, Conor",D,@RepConorLamb
422,423,Rhode Island,U.S. Senator,"Whitehouse, Sheldon",D,@SenWhitehouse
423,424,Rhode Island,U.S. Senator,"Reed, Jack",D,@SenJackReed
425,426,Rhode Island 2nd District,U.S. Representative,"Langevin, Jim",D,@jimlangevin
426,427,South Carolina,U.S. Senator,"Scott, Tim",R,@SenatorTimScott
427,428,South Carolina,U.S. Senator,"Graham, Lindsey",R,@LindsayGrahamSC
428,429,South Carolina 1st District,U.S. Representative,"Mace, Nancy",R,@NancyMace
431,432,South Carolina 4th District,U.S. Representative,"Timmons, William",R,@RepTimmons
433,434,South Carolina 6th District,U.S. Representative,"Clyburn, James E.",D,@WhipClyburn
434,435,South Carolina 7th District,U.S. Representative,"Rice, Tom",R,@RepTomRice
435,436,South Dakota,U.S. Senator,"Thune, John",R,@SenJohnThune
436,437,South Dakota,U.S. Senator,"Rounds, Mike",R,@SenatorRounds
438,439,Tennessee,U.S. Senator,"Blackburn, Marsha",R,@MarshaBlackburn
439,440,Tennessee,U.S. Senator,"Hagerty, Bill",R,@BillHagertyTN
440,441,Tennessee 1st District,U.S. Representative,"Harshbarger, Diana",R,@DHarshbargerTN1
441,442,Tennessee 2nd District,U.S. Representative,"Burchett, Tim",R,@RepTimBurchett
442,443,Tennessee 3rd District,U.S. Representative,"Fleischmann, Chuck",R,@RepChuck
443,444,Tennessee 4th District,U.S. Representative,"DesJarlais, Scott",R,@DesJarlaisTN04
445,446,Tennessee 6th District,U.S. Representative,"Rose, John W.",R,@RepJohnRose
447,448,Tennessee 8th District,U.S. Representative,"Kustoff, David",R,@DavidKustoff
448,449,Tennessee 9th District,U.S. Representative,"Cohen, Steve",D,@RepCohen
450,451,Texas,U.S. Senator,"Cornyn, John",R,@JohnCornyn
451,452,Texas 1st District,U.S. Representative,"Gohmert, Louie",R,@replouiegohmert
453,454,Texas 3rd District,U.S. Representative,"Taylor, Van",R,@RepVanTaylor
454,455,Texas 4th District,U.S. Representative,"Fallon, Pat",R,@FallonForTexas
455,456,Texas 5th District,U.S. Representative,"Gooden, Lance",R,@Lancegooden
456,457,Texas 6th District,U.S. Representative,"Ellzey, Jake",R,@JakeEllzey
458,459,Texas 8th District,U.S. Representative,"Brady, Kevin",R,@RepKevinBrady
459,460,Texas 9th District,U.S. Representative,"Green, Al",D,@RepAlGreen
460,461,Texas 10th District,U.S. Representative,"McCaul, Michael T.",R,@RepMcCaul
461,462,Texas 11th District,U.S. Representative,"Pfluger, August",R,@AugustPfluger
462,463,Texas 12th District,U.S. Representative,"Granger, Kay",R,@RepKayGranger
463,464,Texas 13th District,U.S. Representative,"Jackson, Ronny",R,@RonnyJacksonTX
